id,state_name,state_abbr,region,program_family,state_program_name,administering_agency,application_portal,source_url,federal_anchor_url,benefit_type,target_population,eligibility_lenses,income_rule_summary,work_rule_summary,immigration_note,recertification_burden,digital_access_notes,appeal_contact_notes,advocacy_barrier_tags,waiver_or_expansion_tags,verification_status,last_reviewed,notes
ca-meals,California,CA,West,School Meals,California Universal Meals + NSLP/SBP,"California Department of Education, Nutrition Services Division",Districts collect Meal Applications / Alternate Income Forms,https://www.cde.ca.gov/ls/nu/,https://www.fns.usda.gov/school-meals,Free school breakfast and lunch,All K-12 students in participating LEAs,"universal access (CA); categorical (CEP, direct certification)",California provides two free meals daily to all K-12 students regardless of household income under the Universal Meals Program (effective 2022-23).,Not applicable.,No immigration status restriction.,Universal access; income forms still collected for state/federal funding purposes.,School-level enrollment; online applications via district portals where used.,District-level grievance; state escalation via CDE.,meal debt practices in some districts; stigma reduction; summer meals gaps,California Universal Meals; Summer EBT (SUN Bucks),verified official source,2025-01,California also participates in Summer EBT (SUN Bucks) launched 2024.
ca-headstart,California,CA,West,Head Start / Early Head Start,California Head Start (federally funded; state grantees),Federal Office of Head Start; local grantees,Use Head Start Center Locator,https://headstart.gov,https://eclkc.ohs.acf.hhs.gov/center-locator,Comprehensive early childhood education,Pregnant individuals; infants/toddlers (EHS); preschoolers 3-5 (HS) at or below 100% FPL or categorically eligible,"income; categorical (homeless, foster, TANF, SSI); age","Generally at or below 100% FPL; categorical eligibility for families experiencing homelessness, foster youth, and TANF/SSI recipients.",Not applicable.,No immigration status restriction.,Annual eligibility verification per Head Start Program Performance Standards.,Apply through local grantees; locator available via federal site.,Grievances handled by local grantee per program governance.,limited slots; categorical eligibility under-used for homeless families,McKinney-Vento categorical eligibility,national directory anchored,2026-05,May 2026 audit found the prior California Head Start state-domain URL did not resolve. Record is now anchored to the federal HeadStart.gov locator because Head Start/Early Head Start is federally funded and delivered through local grantees. Categorical eligibility for children experiencing homelessness is underutilized — high-leverage for housing justice work.
ca-eitc,California,CA,West,EITC/CTC/State Tax Credits,"CalEITC, Young Child Tax Credit (YCTC), Foster Youth Tax Credit (FYTC)",California Franchise Tax Board,https://www.ftb.ca.gov,https://www.ftb.ca.gov/file/personal/credits/california-earned-income-tax-credit.html,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit-eitc,Refundable state tax credits,Low-income working households; families with young children; current/former foster youth,earned income; ITIN eligibility (CA); child age (YCTC),Income thresholds set annually by FTB; CalEITC is available to ITIN filers in California (since 2020).,Requires earned income.,"CalEITC, YCTC, and FYTC are available to ITIN filers — a key California-specific expansion not available federally.",Annual tax filing.,VITA sites and CalFile; FTB online services.,FTB administrative protest; Office of Tax Appeals for unresolved matters.,unclaimed credits; ITIN renewal lag; tax-time access for unbanked,ITIN eligibility; Young Child Tax Credit; Foster Youth Tax Credit,verified official source,2025-01,Outreach during tax season pays out the year's largest single-deposit family income event for many households.
ca-aca,California,CA,West,ACA Marketplace Subsidies,Covered California,Covered California (state-based marketplace),https://www.coveredca.com,https://www.coveredca.com,https://www.healthcare.gov,"Premium subsidies, cost-sharing reductions, state premium assistance",Individuals/families not eligible for Medi-Cal or affordable employer coverage,income (MAGI); household composition; immigration,Federal APTC plus California state premium subsidies for additional affordability; verify current schedule at Covered California.,Not applicable.,Available to lawfully present individuals; DACA recipients have a complex history (verify current federal rule).,Annual open enrollment plus life-event SEPs; income redetermination at renewal.,Covered California portal; Certified Enrollment Counselors and brokers.,Internal appeal then administrative law judge process.,enrollment cliff; subsidy reconciliation; broker access disparities,CA state premium subsidies; Section 1332 waiver activity,verified official source,2025-01,California stacks state subsidies on federal APTC for many enrollees.
ca-era,California,CA,West,Emergency Rental Assistance / Homelessness Services,"CA COVID-19 Rent Relief (closed); current programs via HCD, BCSH, and local CoCs",California Department of Housing and Community Development (HCD); local Continuums of Care,Varies by CoC; HCD lists program portals,https://www.hcd.ca.gov,https://www.hud.gov/topics/rental_assistance,"Rent arrears, prevention, rapid rehousing, PSH",Households at risk of homelessness or currently homeless,income (AMI); housing instability; vulnerability,AMI bands vary by program (typically 30-80% AMI); verify with administering CoC.,Not applicable.,Most state-funded homelessness services available regardless of immigration status; verify per program.,Time-limited assistance windows; documentation of housing instability required.,Coordinated Entry System through local CoC.,Grievance through provider; escalation to CoC lead agency.,one-time funding cliffs; CoC capacity gaps; documentation barriers,HHAP rounds; Encampment Resolution Funding (ERF); Project Homekey,state source pending,2025-01,"Active state-funded vehicles include HHAP, ERF, and Homekey. The pandemic-era CA COVID-19 Rent Relief portal closed; replacement programs are CoC-administered."
ny-snap,New York,NY,Northeast,SNAP,SNAP (NY),NY State Office of Temporary and Disability Assistance (OTDA),https://mybenefits.ny.gov,https://otda.ny.gov/programs/snap/,https://www.fns.usda.gov/snap/state-directory,Nutrition assistance (EBT),Low-income households,income; household composition; immigration; work requirement,NY has adopted broad-based categorical eligibility expanding gross income limits for most households; verify current OTDA schedule.,ABAWD time-limit rules apply where waivers do not; NYC frequently subject to waiver activity — verify current status.,Federal SNAP rules apply; NY does not currently operate a state-funded parallel for non-qualified immigrants.,Periodic reporting plus recertification at 6 or 12 months depending on household type.,myBenefits.ny.gov; NYC residents use ACCESS HRA.,Fair hearings via OTDA Office of Administrative Hearings.,ABAWD enforcement risk; interview backlog; interview no-show denials; EBT skimming,broad-based categorical eligibility; ABAWD waiver activity,verified official source,2025-01,NYC's HRA administers SNAP locally; statewide policy from OTDA. EBT theft/skimming has been a significant access issue with state reimbursement programs.
ny-tanf,New York,NY,Northeast,TANF/Cash Assistance,Temporary Assistance: Family Assistance (FA) + Safety Net Assistance (SNA),NY State Office of Temporary and Disability Assistance (OTDA); local DSS / NYC HRA,https://mybenefits.ny.gov,https://otda.ny.gov/programs/temporary-assistance/,https://www.acf.hhs.gov/ofa/programs/tanf,Cash assistance,Families with children (FA); single adults/childless adults (SNA); persons over time-limit on FA,income; resources; household composition; work requirement; time limits,Grant amounts vary by district; NY uses a basic allowance plus shelter and home-energy allowances. Verify current local schedule.,Work activity requirements; sanctions for noncompliance with due-process protections.,Federal qualified-immigrant rules apply to FA; SNA is state-funded and serves additional populations including some non-qualified immigrants.,"Periodic recertification, frequent eligibility reviews.",ACCESS HRA in NYC; myBenefits statewide.,OTDA fair hearings; aid-continuing rights apply.,sanctions; shelter allowance below actual rents; engagement-center burdens,Safety Net Assistance (state-funded); 60-month federal limit; state SNA continuation,verified official source,2025-01,"After 60 months of FA, households generally move to SNA. NY shelter allowance has been the subject of ongoing litigation."
ny-medicaid,New York,NY,Northeast,Medicaid,New York Medicaid,NY State Department of Health,https://nystateofhealth.ny.gov,https://www.health.ny.gov/health_care/medicaid/,https://www.medicaid.gov/about-us/where-can-people-get-help-medicaid-chip/index.html,Comprehensive health coverage,Low-income individuals and families; expansion adults; aged/blind/disabled,income (MAGI and non-MAGI); categorical; immigration,MAGI groups at 138% FPL (adults) and higher for children/pregnancy; verify NY DOH schedule.,No work requirement.,NY expanded Medicaid-equivalent coverage to certain non-citizens aged 65+ regardless of status (2023); broader Essential Plan expansion to higher income via 1332 waiver.,Annual; ex parte renewals expanded.,NY State of Health for MAGI; local DSS/HRA for non-MAGI.,Fair hearings via OTDA.,MAGI/non-MAGI bifurcation; renewal churn; managed care complexity,Essential Plan expansion (1332); age 65+ regardless of status expansion,verified official source,2025-01,NY's Essential Plan covers people up to 250% FPL (expanded via 1332 waiver) — closes a key affordability gap.
ny-chip,New York,NY,Northeast,CHIP,Child Health Plus,NY State Department of Health,https://nystateofhealth.ny.gov,https://www.health.ny.gov/health_care/child_health_plus/,https://www.medicaid.gov/chip/index.html,Children's health coverage,Children under 19 not eligible for Medicaid; available regardless of immigration status,age; income; alternative coverage,Sliding-scale premiums above Medicaid thresholds up to ~400% FPL.,Not applicable.,Child Health Plus is available to all income-eligible children in NY regardless of immigration status.,Annual renewal via NY State of Health.,NY State of Health marketplace.,Internal appeal and state fair hearing.,premium affordability above 222% FPL; renewal lapses,coverage regardless of immigration status,verified official source,2025-01,"Distinct CHIP program with its own enrollment, unlike CA's unified Medi-Cal structure."
ny-wic,New York,NY,Northeast,WIC,New York State WIC,"NY State Department of Health, Division of Nutrition",https://www.health.ny.gov/prevention/nutrition/wic/,https://www.health.ny.gov/prevention/nutrition/wic/,https://www.fns.usda.gov/wic/program-contacts,Nutrition assistance for pregnant/postpartum people and young children,"Pregnant, postpartum, breastfeeding people; infants and children under 5",income (185% FPL); categorical; nutrition risk,185% FPL or adjunctive eligibility (Medicaid/SNAP/TANF).,Not applicable.,No immigration restriction; not a public charge factor.,Periodic certification.,eWIC card; local agency appointments.,Fair hearing via DOH WIC.,appointment availability; rural store stocking,remote certification flexibilities,verified official source,2025-01,NY transitioned to eWIC statewide; outreach remains an enrollment gap.
ny-liheap,New York,NY,Northeast,LIHEAP,Home Energy Assistance Program (HEAP),NY State Office of Temporary and Disability Assistance (OTDA),https://mybenefits.ny.gov,https://otda.ny.gov/programs/heap/,https://liheapch.acf.hhs.gov/search-tool/,"Heating/cooling bill assistance, crisis, equipment repair, weatherization",Low-income households,income (SMI); energy burden; household composition,Income thresholds tied to State Median Income tiers; verify current schedule.,Not applicable.,No federal immigration restriction on LIHEAP funds.,Annual application; seasonal opening dates.,myBenefits.ny.gov; ACCESS HRA in NYC; local DSS offices.,Fair hearing rights apply.,short application window; funds exhaust; cooling component access,Emergency HEAP; Cooling component; Heating Equipment Repair/Replacement,verified official source,2025-01,"NY HEAP has distinct seasonal benefits — Regular, Emergency, Cooling, HERR — each with separate windows."
ny-housing,New York,NY,Northeast,Housing Choice Voucher / Public Housing,"Section 8 HCV / Public Housing (NYCHA, HCR, local PHAs)",Local PHAs including NYCHA; NY State Homes and Community Renewal (HCR) for state-administered HCV,Varies by PHA; NYCHA Self-Service Portal for Section 8 and public housing,https://hcr.ny.gov/section-8,https://www.hud.gov/topics/rental_assistance,Rental subsidy,Very low-income households,income (AMI); household composition; immigration; criminal history (PHA-specific),HUD income limits by metro AMI; 75% of new vouchers to ELI households.,No federal work requirement.,Mixed-status prorated rules apply.,Annual recertification; interim re-exams; biennial inspections.,NYCHA self-service portal; HCR portals; local PHA waitlists frequently closed.,Informal hearings prior to termination.,closed waitlists; source-of-income discrimination; NYCHA repair backlog; voucher payment standard gaps,NYC source-of-income protection (NYCHRL); NY State source-of-income protection (Human Rights Law); CityFHEPS / FHEPS state supplements,verified official source,2025-01,NY State and NYC both prohibit source-of-income discrimination including vouchers and CityFHEPS. CityFHEPS administration and litigation has been a major housing-justice front.
ny-ui,New York,NY,Northeast,Unemployment Insurance,New York State Unemployment Insurance,NY State Department of Labor,https://dol.ny.gov/unemployment,https://dol.ny.gov/unemployment,https://oui.doleta.gov/unemploy/agencies.asp,Wage replacement for unemployed workers,Workers separated through no fault of their own; able and available,wage history; separation reason; able and available; work search,Weekly benefit amount based on highest-earning base-period quarter; verify current min/max.,"Must be ready, willing, and able; weekly certification and work-search requirements.",Claimants must have had work authorization during base period and while claiming.,Weekly certification.,NY.gov ID + ID.me; phone filing available.,Appeals to the Unemployment Insurance Appeal Board within statutory deadline.,ID.me access; overpayment notices; language access,historical PUA (expired),verified official source,2025-01,"Excluded workers (e.g., many undocumented and informal-economy workers) are not eligible; NY's one-time Excluded Workers Fund has closed."
ny-ssi,New York,NY,Northeast,SSI/SSDI/State Supplements,SSI + NY State Supplement Program (SSP),SSA (federal); NY OTDA administers SSP,https://www.ssa.gov/apply,https://otda.ny.gov/programs/ssp/,https://www.ssa.gov/ssi/,Cash assistance for aged/blind/disabled plus state supplement,"Aged 65+, blind, or disabled with limited income/resources",categorical; income; resources,Federal SSI plus NY State Supplement; verify current SSP amounts by living arrangement.,SSDI work-incentive rules; SSI countable income reductions.,Federal qualified-immigrant rules apply.,SSA redeterminations; CDRs.,my Social Security; SSA field offices.,SSA appeals process.,SSP timing issues; rep payee complaints; disability backlog,NY-administered SSP,verified official source,2025-01,NY administers its own SSP via OTDA (transitioned from federal administration).
ny-ccdf,New York,NY,Northeast,Child Care Subsidies (CCDF),New York Child Care Assistance Program (CCAP),NY State Office of Children and Family Services (OCFS); local DSS,https://ocfs.ny.gov/programs/childcare/assistance/,https://ocfs.ny.gov/programs/childcare/assistance/,https://www.acf.hhs.gov/occ,Subsidized child care,Working low-income families; families in training; protective cases,income (SMI); reason for care; family size,Eligibility raised to 85% SMI statewide (effective 2022); verify local district policies.,"Need-for-care reasons including work, training, education.",Eligibility tied to child; verify with local DSS.,12-month continuous eligibility per federal rule.,Apply via local DSS; NYC ACS for NYC residents.,Fair hearing rights through OTDA.,provider shortage; subsidy access in NYC; family share calculations,85% SMI expansion; waived family share for lower-income tiers,verified official source,2025-01,NY substantially expanded eligibility and reduced family share starting in 2022.
ny-meals,New York,NY,Northeast,School Meals,NSLP/SBP + NY Universal School Meals (statewide effective 2025-26 per state budget),NY State Education Department,Districts; LEA-level applications,https://www.cn.nysed.gov,https://www.fns.usda.gov/school-meals,Free school breakfast and lunch,K-12 students; expanding to universal coverage per state law,"universal access (phasing in); categorical (CEP, direct cert)",Federal income thresholds for individual eligibility; NY's 2024 budget moved toward statewide universal free meals — verify current implementation status.,Not applicable.,No immigration restriction.,Annual at district level for non-universal contexts.,District portals.,District grievance; NYSED escalation.,lunch debt practices; summer gap; CEP under-adoption,Universal Meals (phasing); Summer EBT (SUN Bucks) participation,verified official source,2025-01,Confirm current school year implementation language for universal meals — policy moved in successive budgets.
ny-headstart,New York,NY,Northeast,Head Start / Early Head Start,New York Head Start (federally funded; state grantees),Federal Office of Head Start; local grantees; NY HSA,Use Head Start Center Locator,https://headstart.gov,https://eclkc.ohs.acf.hhs.gov/center-locator,Comprehensive early childhood education,Income-eligible or categorically eligible families with children prenatal-5,"income (100% FPL); categorical (homeless, foster, TANF, SSI); age",At or below 100% FPL; categorical eligibility extends access.,Not applicable.,No immigration restriction.,Annual.,Local grantees; locator at federal site.,Grantee grievance.,limited slots; categorical eligibility under-utilization,McKinney-Vento categorical eligibility,national directory anchored,2026-05,May 2026 audit changed this from a state association URL to the federal HeadStart.gov locator for official routing. Family homelessness is categorically eligible for Head Start/EHS — outreach to shelters is high-leverage.
ny-eitc,New York,NY,Northeast,EITC/CTC/State Tax Credits,"NY EITC, Empire State Child Credit (ESCC), NYC EITC",NY State Department of Taxation and Finance,https://www.tax.ny.gov,https://www.tax.ny.gov/pit/credits/earned_income_credit.htm,https://www.irs.gov/credits-deductions/individuals/earned-income-tax-credit-eitc,Refundable state and local tax credits,Low-income working households; families with children,earned income; child age (ESCC); filing status,NY EITC equals a percentage of federal EITC; ESCC expanded to include children under 4 in recent budgets — verify current rules.,Requires earned income for EITC.,ITIN filers are generally not eligible for NY EITC (unlike CA's expanded CalEITC).,Annual filing.,VITA sites; tax.ny.gov.,Tax Department protest process; Division of Tax Appeals.,unclaimed credits; tax-time access,ESCC age expansion (under 4); NYC supplemental EITC,verified official source,2025-01,Expansion of Empire State Child Credit to younger ages has been a major NY family policy lever.
ny-aca,New York,NY,Northeast,ACA Marketplace Subsidies,NY State of Health (Marketplace + Essential Plan),NY State of Health,https://nystateofhealth.ny.gov,https://nystateofhealth.ny.gov,https://www.healthcare.gov,Marketplace QHPs + Essential Plan (BHP),Individuals/families not eligible for Medicaid or affordable employer coverage,income (MAGI); household composition; immigration,Essential Plan available up to 250% FPL (post-1332 waiver expansion); APTC for QHP enrollees above EP threshold.,Not applicable.,Essential Plan expanded to include certain non-citizens regardless of status starting 2024 per state policy — verify current scope.,Annual.,NY State of Health portal; Navigators; Brokers.,Internal then external appeal; ALJ hearings.,Essential Plan transition timing; immigrant outreach,1332 Essential Plan expansion to 250% FPL; immigrant-inclusive coverage,verified official source,2025-01,NY's Essential Plan (Basic Health Program) is one of only a handful nationally — extremely valuable for advocates.
ny-era,New York,NY,Northeast,Emergency Rental Assistance / Homelessness Services,"ERAP (closed for new apps), CityFHEPS, FHEPS, HomeBase, HPRP / state homelessness programs",OTDA (state); NYC HRA/DHS (NYC); local DSS; HCR for HHAP,Varies by program; CityFHEPS via HRA Homebase,https://otda.ny.gov/programs/emergency-rental-assistance/,https://www.hud.gov/topics/rental_assistance,"Rent arrears, ongoing subsidy (CityFHEPS/FHEPS), homelessness prevention, shelter",Households at risk of/experiencing homelessness; eligible families with children (FHEPS); single adults and families (CityFHEPS),income (AMI / categorical); housing instability; shelter status,CityFHEPS and FHEPS have specific eligibility tied to public assistance and homelessness status; verify current NYC rules.,Some programs require engagement with public assistance work requirements.,Many state/city homelessness programs available regardless of status; verify per program.,Annual for ongoing subsidies; documentation-heavy intake.,ACCESS HRA for NYC; OTDA portals statewide; HomeBase walk-in centers in NYC.,OTDA fair hearings; CityFHEPS denials appealable to NYC OATH/HRA process.,CityFHEPS expansion litigation; shelter capacity; shopping letter delays; broker fee gaps,CityFHEPS Local Law 101/102/103 expansion litigation; Right-to-Shelter consent decree; Pathway Home / SOTA,state source pending,2025-01,Active and shifting NYC litigation over Local Laws 101-103 expanding CityFHEPS — verify current operative court orders before counseling clients. ERAP application portal is closed though some legacy obligations continue.
vt-snap,Vermont,VT,Northeast,SNAP,3SquaresVT,"Vermont Department for Children and Families (DCF), Economic Services Division",https://dcf.vermont.gov/benefits/3SquaresVT,https://dcf.vermont.gov/benefits/3SquaresVT,https://www.fns.usda.gov/snap/state-directory,Nutrition assistance (EBT),Low-income households,income; household composition; immigration; work requirement,Broad-based categorical eligibility raises gross income test for most households; verify current Vermont schedule.,ABAWD time limits subject to federal rules; Vermont has historically used waivers for portions of the state — verify.,Federal SNAP eligibility rules apply.,Periodic and annual recertification.,MyBenefits VT online portal; Hunger Free Vermont assists outreach.,Human Services Board fair hearings.,rural access; ABAWD complexity; EBT card replacement delays,broad-based categorical eligibility,verified official source,2025-01,Vermont's SNAP program is branded 3SquaresVT for outreach. ESD also runs Reach Up and Reach First.
